type,title,director,cast,country,release_year,rating,genre,platform,imdb_rating,id,image_url,description
Movie,Snowglobe,ron lagomarsino,"christina milian,erin karpluk,hilda doherty,jason schombing,james kot,andrew krivanek",United States,2007,TV-PG,"comedy,family,fantasy",hotstar,5.9,12465197846539941346,https://m.media-amazon.com/images/M/MV5BZDk3OGNiZWUtNjdiOS00ZmI3LWE4YzctNDQzODE4ODQ2NzM1L2ltYWdlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,Angela finds a snow globe that transports her into a Christmas wonderland.
Movie,Society Dog Show,bill roberts,"pinto colvig,walt disney",United States,1939,TV-G,"animation,comedy,family",hotstar,6.8,14594312268137414028,https://m.media-amazon.com/images/M/MV5BMjUwNjIzZDgtYTA4ZC00YmYxLWI0NjktMWIzNDk3NTEwZmUzXkEyXkFqcGdeQXVyNjY1NTQ0NDg@._V1_SX300.jpg,"Pluto is out of place at a dog show, but he proves to be a hero. See details for advisory."
TV Show,Spider-Woman,unknown,"joan ark,bruce miller,bryan scott,lou krugman,dick tufeld",United States,1979,TV-Y7,"action adventure,animation,kids",hotstar,,16974641545206645799,,Jessica Drew has superhuman powers. She uses them as Spider-Woman.
TV Show,Star Wars Rebels,unknown,"taylor gray,vanessa marshall,freddie prinze jr,tiya sircar,steve blum,c110p aka chopper",United States,2014,TV-Y7,"action adventure,animation,kids",hotstar,8.1,4747788243246719578,https://m.media-amazon.com/images/M/MV5BY2Q1ZTAzNzMtMzlmNy00NjdjLThhYjgtMzgxN2ZkYmFhMDIwXkEyXkFqcGdeQXVyMjg5NDMwMQ@@._V1_SX300.jpg,The Ghost crew provides a spark to ignite a rebellion.
Movie,Star Wars: A New Hope (Episode IV),george lucas,"mark hamill,harrison ford,carrie fisher,peter cushing,alec guinness,anthony daniels",United States,1977,PG,"action adventure,science fiction",hotstar,1.0,8913698887655172094,https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,A young farm boy intercepts a distress call from the captive Princess Leia.
Movie,Star Wars: Attack of the Clones (Episode II),george lucas,"ewan mcgregor,natalie portman,hayden christensen,frank oz,ian mcdiarmid,pernilla august",United States,2002,PG,"action adventure,science fiction",hotstar,1.0,5763937904786614668,https://image.tmdb.org/t/p/w500/oZNPzxqM2s5DyVWab09NTQScDQt.jpg,Young Anakin and Padmé fall in love as galactic war looms.
TV Show,Star Wars: Blips,unknown,unknown,United States,2019,TV-Y7-FV,series,hotstar,1.0,9567552600598182231,https://m.media-amazon.com/images/M/MV5BZmUyNzhmM2YtMjEzNS00OTkzLThiZjgtMmU2ZDRmODA1OWFhXkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_SX300.jpg,What does a curious little droid do when he's not on a daring mission to save the galaxy?
Movie,Star Wars: Return of the Jedi (Episode VI),richard marquand,"mark hamill,harrison ford,carrie fisher,billy williams,anthony daniels,peter mayhew",United States,1983,PG,"action adventure,science fiction",hotstar,1.0,4983235772894044026,https://image.tmdb.org/t/p/w500/jQYlydvHm3kUix1f8prMucrplhm.jpg,Luke Skywalker faces Darth Vader in a final duel.
Movie,Star Wars: Revenge of the Sith (Episode III),george lucas,"ewan mcgregor,natalie portman,hayden christensen,ian mcdiarmid,frank oz,jimmy smits",United States,2005,PG-13,"action adventure,science fiction",hotstar,1.0,16766631459279594792,https://image.tmdb.org/t/p/w500/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,"As the Republic falls, Anakin Skywalker becomes the evil Darth Vader."
Movie,Star Wars: The Empire Strikes Back (Episode V),irvin kershner,"mark hamill,harrison ford,carrie fisher,billy williams,anthony daniels,david prowse",United States,1980,PG,"action adventure,science fiction",hotstar,1.0,5072167986380517336,https://image.tmdb.org/t/p/w500/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,Luke Skywalker trains as a Jedi and confronts Darth Vader.
Movie,Star Wars: The Force Awakens (Episode VII),jj abrams,"harrison ford,mark hamill,carrie fisher,adam driver,daisy ridley,john boyega",United States,2015,PG-13,"action adventure,science fiction",hotstar,1.0,12181287295982321775,https://image.tmdb.org/t/p/w500/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,"Rey, Finn, Han and Chewbacca search for the one hope of restoring peace."
Movie,Star Wars: The Phantom Menace (Episode I),george lucas,"liam neeson,ewan mcgregor,natalie portman,jake lloyd,pernilla august,frank oz",United States,1999,PG,"action adventure,science fiction",hotstar,1.0,9525045703140877741,https://image.tmdb.org/t/p/w500/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,"Jedi discover Anakin Skywalker, a boy unusually strong in the Force."
Movie,Starstruck,michael grossman,"sterling knight,danielle campbell,maggie castle,brandon smith,chelsea staub,beth littleford",United States,2010,TV-G,"comedy,coming of age,music",hotstar,6.1,9509715409576376583,https://m.media-amazon.com/images/M/MV5BZTAzNDIzMWYtNWI3NC00OTA1LWJkNjgtM2U2NzZlZGZlZjAyXkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_SX300.jpg,Pop star Christopher Wilde must choose to follow his heart or embrace fame.
Movie,Steamboat Willie,"walt disney,ub iwerks",walt disney,United States,1928,TV-Y7,"animation,family,kids",hotstar,7.5,3705694410484646253,https://m.media-amazon.com/images/M/MV5BMzQxYzIxOTYtMGQzYi00ZjUxLThhMGEtZDZlOTg1OGE2ODc1XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg,Watch Mickey Mouse's classic cartoon debut. See details for advisory.
Movie,Stepsister from Planet Weird,steve boyum,"courtnee draper,tamara hope,lance guest,khrystyne haje,vanessa chester,myles jeffrey",United States,2000,TV-G,"comedy,family,science fiction",hotstar,5.8,11102478185776407973,https://m.media-amazon.com/images/M/MV5BYTlhY2UzOTctMGQ0NC00Y2Q4LThmYWMtZmRjOTY3YzE2M2U1XkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_SX300.jpg,A human and an alien team up to stop their parents from getting married.
Movie,Stitch! The Movie,"tony craig,bobs gannaway","daveigh chase,chris sanders,tia carrere,david stiers,kevin mcdonald,ving rhames",United States,2003,G,"animation,comedy,family",hotstar,1.0,3041737529579761484,https://image.tmdb.org/t/p/w500/Apq6rZlmKnWIsctO8PkUvLFEJYq.jpg,"Stitch tries to save his intergalactic ""cousins"" from evil Captain Gantu."
Movie,Stuck in the Suburbs,savage holland,"danielle panabaker,brenda song,amanda shaw,cici hedgepeth,jennie garland,ryan belleville",United States,2004,TV-G,"comedy,coming of age,music",hotstar,5.5,7695812154227495992,https://m.media-amazon.com/images/M/MV5BYjU0NzVhNDYtNzg3Ni00YmMxLWI1NjMtZWVjODBlODE4ZGI4XkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_SX300.jpg,A bored suburban teen accidentally switches phones with a pop star.
Movie,Sultan and the Rock Star,ed abroms,"timothy hutton,ken swofford,bruce glover,ned romero,richard paul,pat delany",United States,1980,TV-PG,"action adventure,animals  nature,family",hotstar,1.0,11985477381173077883,https://image.tmdb.org/t/p/w500/7vWRBBhyYRC9GafquGhuO6M2nZZ.jpg,A rock star befriends a gentle tiger being hunted for sport. See details for advisory.
Movie,Super Buddies,robert vince,"jeremy shinder,tenzing trainor,ty panitz,g hannelius,cooper roth,colin hanks",United States,2013,G,"action adventure,comedy,family",hotstar,4.3,9729483949639702607,https://m.media-amazon.com/images/M/MV5BMTY0Mzg1Mjg5MV5BMl5BanBnXkFtZTgwMTYxODA2MDE@._V1_SX300.jpg,A new breed of hero is born when Disney's favorite extraordinary pups become Super Buddies!
Movie,Swiss Family Robinson,edward ludwig,"thomas mitchell,edna best,freddie bartholomew,terry kilburn,tim holt,baby quillan",United States,1940,PG,"action adventure,family,survival",hotstar,1.0,7475014639382512130,https://m.media-amazon.com/images/M/MV5BZDNkMjY1YzUtNjEyYi00Y2U0LTlhZmYtY2M5M2U3YjAyYTRjXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,A violent storm shipwrecks the Robinson family on a deserted island. See details for advisory.
TV Show,TaleSpin,unknown,"charlie adler,jim cummings,ed gilbert,chuck mccann,alan roberts,sally struthers",United States,1990,TV-G,"action adventure,animation,kids",hotstar,7.5,2361764537169131369,https://m.media-amazon.com/images/M/MV5BY2VlOWRlNzYtMWU4My00NzdjLTgzNzktN2VjNTlhM2IwMWExXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,"Follow Baloo, his 12-year old navigator Kit, the boss Rebecca Cunningham, and the rest of the crew."
Movie,Tall Tale,jeremiah chechik,"scott glenn,oliver platt,nick stahl,stephen lang,roger brown,jared harris",United States,1995,PG,"action adventure,western",hotstar,1.0,12986447484171983856,https://m.media-amazon.com/images/M/MV5BNDA4NmY0YWYtMDg2My00YzJiLTkyYTQtYjNkMWMwNmQ5ZjAxXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,It's all up to Pecos Bill to save a boy's family farm in this rousing Western adventure.
Movie,Tangled,"nathan greno,byron howard","mandy moore,zachary levi,donna murphy,ron perlman,mc gainey,jeffrey tambor",United States,2010,PG,"action adventure,animation,family",hotstar,7.7,7347085731855061964,https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,"Rapunzel and Flynn set off on a hilarious, hair-raising escapade."
Movie,Tangled Before Ever After,"tom caulfield,stephen sandoval","zachary levi,mandy moore,eden espinosa,clancy brown,julie bowen,laura benanti",United States,2017,TV-Y7,"animation,coming of age,fantasy",hotstar,1.0,9077478467171147803,https://m.media-amazon.com/images/M/MV5BYzZkYzIwNGUtZmNiMC00NGQ1LWFmN2UtODU0YzhiYjBjYmQyXkEyXkFqcGdeQXVyNjg3MDM4Mzc@._V1_SX300.jpg,Rapunzel escapes for a night of freedom before her coronation.
Movie,Tarzan & Jane,steve loter,"michael weiss,olivia dabo,rene auberjonois,jeff bennett,jim cummings,grey delisle",United States,2002,TV-PG,"action adventure,animation",hotstar,1.0,16922238712052470509,https://m.media-amazon.com/images/M/MV5BMjAwMTM5NzM4OF5BMl5BanBnXkFtZTcwOTE2NDkyMQ@@._V1_SX300.jpg,Tarzan and Jane celebrate their first year in the jungle.
Movie,Teacher's Pet,timothy björklund,"nathan lane,kelsey grammer,shaun fleming,debra rupp,david stiers,jerry stiller",United States,2004,PG,"animation,comedy,family",hotstar,7.4,17289443830759988512,,A dog discovers that his dream of becoming a real boy isn't so far-fetched.
Movie,Teen Beach 2,jeffrey hornaday,"ross lynch,maia mitchell,grace phipps,garrett clayton,john deluca,chrissie fit",United States,2015,TV-G,"fantasy,music",hotstar,5.9,2520676878298516968,https://m.media-amazon.com/images/M/MV5BZGRkN2VhYWUtYzhkMC00N2VjLTk3MzUtZjk5MGVkYzllYWRmXkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_SX300.jpg,Mack and Brady get a real-world visit from their retro movie compadres.
Movie,Teen Beach Movie,jeffrey hornaday,"ross lynch,maia mitchell,grace phipps,garrett clayton,john deluca,chrissie fit",United States,2013,TV-G,"coming of age,fantasy,music",hotstar,5.9,14948426094921261815,https://m.media-amazon.com/images/M/MV5BZDFjYjdlODItN2MzMC00YzgxLWJiMDktOTI3MGQyOGY2YmQxXkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_SX300.jpg,McKenzie and her boyfriend Brady catch a wave into a retro coastal musical.
Movie,Teen Spirit,gil junger,"cassie scerbo,lindsey shaw,chris zylka,tim gunn,carissa capobianco,gabriela lopez",United States,2011,TV-14,"buddy,comedy,coming of age",hotstar,6.1,11832891480315528956,https://m.media-amazon.com/images/M/MV5BYjk0MmFmMDAtNDY0YS00MTk2LTkwMGItYWQ5M2U4MzM0ZWM3XkEyXkFqcGdeQXVyNDY2MjcyOTQ@._V1_SX300.jpg,"To save her soul, Amber must pull off a high-school miracle."
Movie,That Darn Cat,bob spiers,"christina ricci,doug doug,george dzundza,peter boyle,michael mckean,bess armstrong",United States,1997,PG,"animals  nature,comedy,family",hotstar,4.6,7825320905236275465,https://m.media-amazon.com/images/M/MV5BNjAxMjI0MTEtZDI4Yi00OWIzLTkxY2QtZDZhYTZkOGE4N2NiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"A teen, a cat and a rookie FBI agent team up to solve a kidnapping."
Movie,That Darn Cat!,robert stevenson,"hayley mills,dean jones,dorothy provine,roddy mcdowall,neville brand,elsa lanchester",United States,1965,G,"animals  nature,comedy,family",hotstar,4.6,8494635614199090003,https://m.media-amazon.com/images/M/MV5BNjAxMjI0MTEtZDI4Yi00OWIzLTkxY2QtZDZhYTZkOGE4N2NiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,A cat holds the clue to bank robbers holding a teller hostage.
Movie,The Absent-Minded Professor,robert stevenson,"fred macmurray,nancy olson,keenan wynn,tommy kirk,leon ames,elliott reid",United States,1961,G,"comedy,family,science fiction",hotstar,1.0,17369750061693816247,https://image.tmdb.org/t/p/w500/gCnuDDqoyaBdeeItQ4BjKtYpzF6.jpg,A bumbling professor invents gravity-defying Flubber.
Movie,The Adventures of André & Wally B.,alvy smith,unknown,United States,1984,TV-G,"animation,kids",hotstar,1.0,10520214472298472535,https://image.tmdb.org/t/p/w500/vynPRSjD78EWQpWbvEimlU55Ke.jpg,Andre awakens from a nap and is greeted by a pesky bee.
Movie,The Adventures of Bullwhip Griffin,james neilson,"roddy mcdowall,suzanne pleshette,karl malden,harry guardino,richard haydn,hermione baddeley",United States,1967,TV-PG,"action adventure,comedy,family",hotstar,6.4,736110232147403099,https://m.media-amazon.com/images/M/MV5BZWNkNmM3NDYtYWI4ZC00Mzk2LWE2YjctNDRkNTYzMGU5NGVmXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,A boy joins the California gold rush with his trusty butler on his tail. See details for advisory.
Movie,The Adventures of Huck Finn,stephen sommers,"elijah wood,courtney vance,robbie coltrane,jason robards,ron perlman,dana ivey",United States,1993,PG,"action adventure,coming of age,drama",hotstar,6.2,5105587356822048417,https://m.media-amazon.com/images/M/MV5BN2U3MzY3YmItNTY1ZS00ZmJlLWFlYjUtMjc4MmMzOTM4ODZhXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,Huck and a runaway slave brave the Mississippi River in search of freedom.
Movie,The Adventures of Ichabod and Mr. Toad,"jack kinney,clyde geronimi,james algar","bing crosby,basil rathbone,eric blore,pat omalley,john ployardt,colin campbell",United States,1949,G,"action adventure,animation,anthology",hotstar,6.9,17478271808629236586,https://m.media-amazon.com/images/M/MV5BNjAzZDA2MWItZDdjMi00NTBlLTg5OTItYWQ1YTA1NGNiMGVhL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Enjoy two classic stories with Toad's Wild Ride and the Headless Horseman.
TV Show,The Adventures of Spin and Marty,unknown,"david stollery,tim considine",United States,1955,TV-G,"buddy,coming of age,family",hotstar,8.0,14703919858299476160,https://m.media-amazon.com/images/M/MV5BYjhkYTlhMjgtNzM2MC00YWZkLTg5NzctNjM5ZjI2YzdiYWY4XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,Spin and Marty have adventures during the summer at Triple R Ranch. See details for advisory.
Movie,The African Lion,james algar,winston hibler,United States,1955,G,"animals  nature,documentary,family",hotstar,7.2,11521074406124641392,https://m.media-amazon.com/images/M/MV5BODNmMGZjMjgtOTVjNy00OTg1LWFjZDYtNzMxNjMyMjgzZmI3XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,Two wildlife experts spend years studying the majestic African lion.
Movie,The Apple Dumpling Gang,norman tokar,"bill bixby,susan clark,don knotts,tim conway,david wayne,slim pickens",United States,1975,G,"comedy,family,western",hotstar,6.4,8405537168735011785,https://m.media-amazon.com/images/M/MV5BZTc5NDk1NDgtMThmYy00MWViLTk2ZjUtNTQyMDI1MDI0MDRjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Bumbling outlaws help three young orphans protect their huge gold nugget. See details for advisory.
Movie,The Apple Dumpling Gang Rides Again,vincent mceveety,"tim conway,don knotts,tim matheson,kenneth mars,elyssa davalos,jack elam",United States,1979,G,"comedy,family,western",hotstar,6.0,6061578106806843310,https://m.media-amazon.com/images/M/MV5BZjI2OTJlYjQtOTAwMi00NTM1LWI0MTktYTMzZjlhNGRlMjIwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Two bumbling outlaw wannabes just can't succeed in going straight. See details for advisory.
Movie,The Aristocats,wolfgang reitherman,"phil harris,eva gabor,sterling holloway,scatman crothers,paul winchell,lord tim hudson",United States,1970,G,"action adventure,animation,comedy",hotstar,7.1,10962324887253644890,https://m.media-amazon.com/images/M/MV5BMTU1MzM0MjcxMF5BMl5BanBnXkFtZTgwODQ0MzcxMTE@._V1_SX300.jpg,A pedigreed cat and her kittens are catnapped by a greedy butler. See details for advisory.
Movie,The Art of Skiing,jack kinney,john mcleish,United States,1941,TV-G,"animation,comedy,family",hotstar,7.1,3946094504919747710,https://m.media-amazon.com/images/M/MV5BYWQ2NjdkYjEtNTc0Ny00MmE5LWI2ODMtYjFjMzQzYWE0ZGE3XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,Goofy demonstrates the art of skiing. See details for advisory.
Movie,The Band Concert,"wilfred jackson,walt disney",clarence nash,United States,1935,TV-Y7,"animation,family,kids",hotstar,7.8,6519502012353654975,https://m.media-amazon.com/images/M/MV5BMWU5MDkxZWQtYTU4Mi00ODhjLTg5YjAtNDUxOWMzNjY5NWFmXkEyXkFqcGdeQXVyMTg2NzgzMDE@._V1_SX300.jpg,Mickey's concert in the park is disrupted by Donald and a cyclone. See details for advisory.
Movie,The Bears and I,bernard mceveety,"patrick wayne,chief george,andrew duggan,michael ansara,robert pine,val devargas",United States,1974,TV-PG,"animals  nature,drama,family",hotstar,6.1,8735779373683090841,https://m.media-amazon.com/images/M/MV5BYzYyNWFkOWEtODJiZS00Mzk3LTllZDgtNzhmNzdmMmU4ODhjXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,A man seeking peace and quiet becomes a father to three mischievous bears. See details for advisory.
Movie,The Big Bad Wolf,burt gillett,unknown,United States,1934,TV-Y7,"animation,family,music",hotstar,6.9,17178525389217264730,https://m.media-amazon.com/images/M/MV5BMTdlZjE3ODctNjVlMy00ZmJkLTgxNTUtZjA3NWY3M2NiOThkXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,Red Riding Hood travels to visit her sick grandmother. See details for advisory.
Movie,The Biscuit Eater,vincent mceveety,"earl holliman,patricia crowley,lew ayres,godfrey cambridge,beah richards,clifton james",United States,1972,G,"animals  nature,drama,family",hotstar,5.7,7176471535126307617,https://m.media-amazon.com/images/M/MV5BMjgzZGE5YmEtYmM2YS00MzJhLTk1Y2ItZjI4YjVlM2Q5NjY0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Two young boys try to transform a misfit hound into a champion bird dog. See details for advisory.
Movie,The Black Hole,gary nelson,"maximilian schell,anthony perkins,robert forster,joseph bottoms,yvette mimieux,ernest borgnine",United States,1979,PG,"action adventure,science fiction,thriller",hotstar,5.9,11867865792369600016,https://m.media-amazon.com/images/M/MV5BOGEzN2M5YTItZDRkZS00OWMxLTk3MTktZjZkNzExYWRjYjA5XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,Take a spectacular descent into nature's ultimate mystery: The Black Hole.
Movie,The Blue Umbrella,saschka unseld,sarah jaffe,United States,2013,G,"animation,family,kids",netflix,1.0,10734793716664416946,https://m.media-amazon.com/images/M/MV5BYWYwMWZjNDItOTg2Mi00NGY3LTljODItODgxNDhjYzFiYzJhXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg,"A charming allegory based on a novella by Ruskin Bond, this visually stunning film from India explores themes of greed, loneliness, longing and loss."
TV Show,The Book of Pooh,unknown,"jim cummings,paul tiesler,jeff bennett,peter cullen,stephanie d’abruzzo,john fiedler",United States,2000,TV-Y,"comedy,kids",hotstar,6.3,2051039847503222469,https://m.media-amazon.com/images/M/MV5BY2NmMDhhOGItNjkzYy00OGNjLTg0MWUtZmJjNTY0MDMxMmNjXkEyXkFqcGdeQXVyODk1MjAxNzQ@._V1_SX300.jpg,Pooh and Friends discover Christopher Robin’s storybook filled with endearing tales about them!
Movie,The Brave Little Toaster Goes to Mars,robert ramirez,"deanna oliver,tim stack,roger kabler,thurl ravenscroft,eric lloyd,farrah fawcett",United States,1998,TV-G,"action adventure,animation,kids",hotstar,5.7,11129998925233259325,https://m.media-amazon.com/images/M/MV5BMjNkMzAzNDItZWZkMi00OGUxLTljNTItNTgyNjQwYjc0YzVhXkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_SX300.jpg,Toaster and his friends head for Mars to bring the master's baby home.
Movie,The Castaway Cowboy,vincent mceveety,"james garner,vera miles,robert culp,eric shea,elizabeth smith,manu tupou",United States,1974,G,"action adventure,family,western",hotstar,5.8,6600574792267501569,https://m.media-amazon.com/images/M/MV5BNjZlMzZjMzItMGYyOC00YTI5LTk5YjEtYjZkYmRmZjE3ZGNiXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,A Texan castaway helps defend a Hawaiian family's land.
Movie,The Cheetah Girls 2,kenny ortega,"ravensymoné,adrienne bailon,sabrina bryan,kiely williams,belinda peregrin,lori alter",United States,2006,TV-G,"coming of age,drama,music",hotstar,5.0,497652151211616034,https://m.media-amazon.com/images/M/MV5BNzdjNDk0NzItNDJlMS00NGUwLWE2NTUtMjI5NGZlMTJiMWFiXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,The Cheetahs go to Barcelona to perform in a music festival.
Movie,The Cheetah Girls: One World,paul hoen,"adrienne bailon,sabrina bryan,kiely williams,roshan seth,michael steger,kunal sharma",United States,2008,TV-G,"comedy,coming of age,music",hotstar,4.6,9329228229773177410,https://m.media-amazon.com/images/M/MV5BOTNhMDUzMzktM2E0NC00N2Y1LWJlY2UtOTE0NTFkM2MwMDQxXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,The Cheetah Girls are off to India to land a spot in a Bollywood musical.
Movie,The Computer Wore Tennis Shoes,robert butler,"kurt russell,cesar romero,joe flynn,william schallert,alan hewitt,richard bakalyan",United States,1969,G,"comedy,crime,science fiction",hotstar,5.9,13298813845496131790,https://m.media-amazon.com/images/M/MV5BYTcwMmEzZWUtMWZjNy00MDE2LWFhYmMtNTQ1NmJmMjE2NGMwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,A student turns genius when he absorbs the knowledge stored in a computer.
Movie,The Country Bears,peter hastings,"christopher walken,stephen tobolowsky,daryl mitchell,mc gainey,diedrich bader,alex rocco",United States,2002,G,"comedy,music",hotstar,4.2,13801064453410857873,https://m.media-amazon.com/images/M/MV5BMTk0ODU4NDUwOF5BMl5BanBnXkFtZTYwNTI0MTk2._V1_SX300.jpg,The Country Bears aim to save the venue that made them famous.
Movie,The Emperor's New Groove,mark dindal,"david spade,john goodman,eartha kitt,patrick warburton,wendie malick,eli linnetz",United States,2000,G,"action adventure,animation,family",hotstar,1.0,7339878442287246162,https://image.tmdb.org/t/p/w500/wwbgkXQBEKtnyIJapk6gUgWkVw8.jpg,A selfish emperor learns a lesson in humility when he is turned into a llama.
Movie,The Even Stevens Movie,sean mcnamara,"shia labeouf,christy romano,tom virtue,nick spano,steven lawrence,aj trauth",United States,2003,TV-G,"action adventure,comedy",hotstar,6.2,2494348853382722876,https://m.media-amazon.com/images/M/MV5BZGJmYmZkODItNWQxOC00NTNmLTlmNDItMWZhMmQ4ZmNhNzBjXkEyXkFqcGdeQXVyOTM1Njc1ODM@._V1_SX300.jpg,An all-expenses-paid vacation ends up costing the Stevens their sanity.
Movie,The Flood,brad bestelink,angela bassett,United States,2018,TV-PG,"animals  nature,documentary",hotstar,3.1,16710680733509887570,https://m.media-amazon.com/images/M/MV5BNzkzY2VkYzYtM2VhZS00YjdlLWJjODctM2UyMTFlNTUyYmVmXkEyXkFqcGdeQXVyMTg5ODY4NDM@._V1_SX300.jpg,The Okavango Delta in Botswana transforms from desert to water wonderland.
Movie,The Fox and the Hound,"art stevens,ted berman,richard rich","mickey rooney,kurt russell,pearl bailey,jack albertson,sandy duncan,jeanette nolan",United States,1981,G,"action adventure,animation,buddy",hotstar,7.2,271600506106251224,https://m.media-amazon.com/images/M/MV5BMDQzZWRlYjctMjE0ZS00NWU5LWE3NzktYzZiNzJiM2UxMDczXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,A little fox and a hound pup become unlikely friends.
Movie,The Fox and the Hound 2,jim kammerud,"reba mcentire,patrick swayze,jonah bobo,harrison fahn,jeff foxworthy,vicki lawrence",United States,2006,G,"action adventure,animation,buddy",hotstar,5.3,13252499709306443130,https://m.media-amazon.com/images/M/MV5BNzhmNTM4YmQtMTM4Yi00OTIyLWJjN2ItZGE0NmUwODZmOWFlXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,Tod and Copper's friendship is put to the test.
Movie,The Game Plan,andy fickman,"dwayne johnson,kyra sedgwick,morris chestnut,roselyn sanchez,madison pettis,gordon clapp",United States,2007,PG,"comedy,family,sports",hotstar,6.4,6858511287741885414,https://m.media-amazon.com/images/M/MV5BMTQ0NjQzMzI1MF5BMl5BanBnXkFtZTYwNDI0ODA3._V1_SX300.jpg,A superstar quarterback meets the daughter he never knew existed.
Movie,The Ghosts of Buxley Hall,bruce bilson,"dick oneill,victor french,louise latham,rad daly,monte markham,ruta lee",United States,1980,TV-PG,"comedy,family,fantasy",hotstar,5.7,1825518875581680885,https://m.media-amazon.com/images/M/MV5BNTkwODAxOTM2MV5BMl5BanBnXkFtZTgwODI1NjM4MDE@._V1_SX300.jpg,Ghosts inhabiting a cash-strapped academy enlist the help of a shy cadet.
Movie,The Goddess of Spring,wilfred jackson,unknown,United States,1934,TV-Y7,"animation,family,fantasy",hotstar,6.6,11950186833313084641,https://m.media-amazon.com/images/M/MV5BOGRlOWIwNzctNTlkZS00ZmUwLWJmZDUtOTVhNWZkNGYyOWMxXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"The goddess of spring is kidnapped, bringing about the winter season. See details for advisory."
Movie,The Golden Touch,walt disney,unknown,United States,1935,TV-Y7,"animation,family,fantasy",hotstar,6.8,12885853363207629755,https://m.media-amazon.com/images/M/MV5BZDY1MTY0MDYtZmUyZC00YTZkLWJhY2QtNzVmYjExZmZmMGJkXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,A fable of a king whose touch turns everything to gold. See details for advisory.
Movie,The Good Dinosaur,peter sohn,"jeffrey wright,frances mcdormand,maleah padilla,ryan teeple,jack mcgraw,marcus scribner",United States,2015,PG,"action adventure,animation,buddy",hotstar,6.7,9529416197524452171,https://m.media-amazon.com/images/M/MV5BMTc5MTg2NjQ4MV5BMl5BanBnXkFtZTgwNzcxOTY5NjE@._V1_SX300.jpg,A dinosaur named Arlo makes an unlikely friend during his journey home.
