type,title,director,cast,country,release_year,rating,genre,platform,imdb_rating,id,image_url
Movie,donald glover weirdo,"['shannon hartman', 'michelle caputo']",donald glover,United States,2012,TV-MA,comedy,netflix,7.4,12640299772021882287,https://m.media-amazon.com/images/M/MV5BMTY0Mzk0NTI5N15BMl5BanBnXkFtZTgwODY0NDAxMzE@._V1_SX300.jpg
Movie,walt disney animation studios short films collection,"['chris buck', 'jennifer lee', 'patrick osborne', 'lauren macmullan', 'john kahrs', 'nathan greno', 'byron howard', 'stevie wermers', 'dean wellins', 'kevin deters', 'roger allers', 'mike gabriel', 'mark henn']","kristen bell,josh gad,jonathan groff,idina menzel,geoffrey jones,alfre woodard,carrie harrington,tim hodge,david murray,sarah chalke,dave foley,derek richardson,betty white,zachary levi,mandy moore",United States,2015,TV-Y,family,netflix,7.7,16267657090693354372,https://m.media-amazon.com/images/M/MV5BYTdkYjkyMzgtMjQyOC00ZmNiLTg1OTAtNzJhY2MyNjlmM2M5XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg
Movie,hot girls wanted,"['jill bauer', 'ronna gradus']",unknown,United States,2015,TV-MA,documentaries,netflix,6.1,7559897003426974436,https://m.media-amazon.com/images/M/MV5BZmNkNjM2N2ItN2Y0Ni00Yjg5LTgxODAtNTBhYjdiZDA4N2MzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
TV Show,the replacements,['unknown'],"nancy cartwright,grey delisle,kath soucie,daran norris,david mccallum,jeff bennett",United States,2006,TV-G,"animation,comedy,family",hotstar,6.6,2683425405212915942,https://m.media-amazon.com/images/M/MV5BZGEwOWQzNmItM2FlNC00YTk3LTljNjYtNGQ1OTE2M2M4YzI0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Movie,officer downe,['shawn crahan'],"kim coates,tyler ross,lauren vélez,reno wilson,bruno gunn,tracy vilar,sona eyambe,corey taylor,meadow williams",United States,2016,R,action adventure,netflix,4.2,15499864690195719575,https://m.media-amazon.com/images/M/MV5BMzAyNDA5NTQ2Nl5BMl5BanBnXkFtZTgwNDI4OTMyMDI@._V1_SX300.jpg
Movie,ramji londonwaley,['sanjay dayma'],"madhavan,samita bangargi,harsh chhaya,rajendranath zutshi,shikha shalu varma,satish shah,akhilendra mishra",India,2005,TV-14,"comedy,drama,international",netflix,6.6,12551757273158692948,https://m.media-amazon.com/images/M/MV5BN2M3YzFmMTYtM2Y1ZC00Nzc1LTk1MTItNjlkYjBkODA0OGY4XkEyXkFqcGdeQXVyODY3NzQyNDk@._V1_SX300.jpg
Movie,glow the story of the gorgeous ladies of wrestling,['brett whitcomb'],unknown,United States,2012,NR,"documentaries,sports",netflix,7.3,13791889013808569644,https://m.media-amazon.com/images/M/MV5BMTg4MDAxMTY1M15BMl5BanBnXkFtZTcwODU5MzI5OA@@._V1_SX300.jpg
Movie,jingle jangle a christmas journey,['david e talbert'],"forest whitaker,keeganmichael key,hugh bonneville,anika noni rose,madalen mills,phylicia rashad,ricky martin,justin cornwell,sharon rose,lisa davina phillip,kieron dyer",United States,2020,PG,"family,music",netflix,6.5,7795993620903475877,https://m.media-amazon.com/images/M/MV5BMjVhYjBlMzEtZGMyYS00ODNjLTljYjEtNTdlYjAyNmI1OTZjXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg
Movie,vikings unearthed,['harvey lilley'],eric meyers,United States,2016,TV-PG,documentaries,netflix,1.0,9576555120401171508,url
Movie,when we first met,['ari sandel'],"adam devine,alexandra daddario,shelley hennig,robbie amell,andrew bachelor",United States,2018,TV-14,"comedy,romance",netflix,6.4,11449673487851313650,https://m.media-amazon.com/images/M/MV5BMzM1OTI4NDM4Nl5BMl5BanBnXkFtZTgwMDAwODg2NDM@._V1_SX300.jpg
Movie,toby tortoise returns,['wilfred jackson'],unknown,United States,1936,TV-Y7,"animation,family,sports",hotstar,6.6,5176563984744294149,https://m.media-amazon.com/images/M/MV5BYTJkZjZkZmYtYjYxNi00ODY3LWEwZTYtNmJlZWM2OGNjZDI3XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg
Movie,satyagraha,['prakash jha'],"kareena kapoor,amitabh bachchan,ajay devgn,arjun rampal,amrita rao,manoj bajpayee,vipin sharma,anjali patil",India,2013,TV-14,"drama,international,music",netflix,5.9,3969317294867230008,https://m.media-amazon.com/images/M/MV5BMjA0NjA4OTExMF5BMl5BanBnXkFtZTgwMDQ2MTQwMDE@._V1_SX300.jpg
Movie,strange voices,['arthur allan seidelman'],"nancy mckeon,valerie harper,stephen macht,tricia leigh fisher,millie perkins",United States,1987,TV-PG,drama,netflix,6.1,2825359446197195540,https://m.media-amazon.com/images/M/MV5BMTU5MTU4MzIxNV5BMl5BanBnXkFtZTgwODAwODY0MjE@._V1_SX300.jpg
Movie,beauty and the beast belles magical world,['bob kline'],"robby benson,paige ohara,david stiers,jerry orbach,jeff bennett,jim cummings",United States,1998,G,"animation,anthology,fantasy",hotstar,1.0,8334814122712342868,url
Movie,robin hood,['wolfgang reitherman'],"roger miller,peter ustinov,terrythomas,brian bedford,monica evans,phil harris",United States,1973,G,"action adventure,animation,family",hotstar,6.6,14083695824901390762,https://m.media-amazon.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_SX300.jpg
TV Show,dope,['unknown'],unknown,United States,2019,TV-MA,"crime,docuseries",netflix,7.2,3750609436951436318,https://m.media-amazon.com/images/M/MV5BMjA3MjYyNTk0Nl5BMl5BanBnXkFtZTgwODc1NzQ1NTE@._V1_SX300.jpg
Movie,the tiger hunter,['lena khan'],"danny pudi,jon heder,rizwan manji,karen david,iqbal theba,sam page,kevin pollak,parvesh cheena,michael mcmillian",United States,2016,TV-14,"comedy,drama,independent",netflix,6.0,11745332859060604738,https://m.media-amazon.com/images/M/MV5BOWM5MWJhMmMtZTQ4YS00MTUwLWI5MjEtYTk4ZDIwMmRiNjUxXkEyXkFqcGdeQXVyMjIzNzQ1MjM@._V1_SX300.jpg
Movie,montana,['jennifer leitzes'],"philip seymour hoffman,kyra sedgwick,stanley tucci,robin tunney,robbie coltrane,john ritter,ethan embry",United States,1998,R,"action,adventure,comedy",hotstar,6.2,2708521207280922862,https://m.media-amazon.com/images/M/MV5BMTQ4ODY1NjEyM15BMl5BanBnXkFtZTgwNDAzMzgwMzE@._V1_SX300.jpg
Movie,race,"['mastan alibhai burmawalla', 'abbas alibhai burmawalla']","saif ali khan,akshaye khanna,katrina kaif,bipasha basu,anil kapoor,sameera reddy",India,2008,TV-14,"action adventure,international,music",netflix,7.1,8420234723289667955,https://m.media-amazon.com/images/M/MV5BMTQ3MDM1MDU2NF5BMl5BanBnXkFtZTgwMzM3OTIzNzE@._V1_SX300.jpg
Movie,lilo  stitch 2 stitch has a glitch,"['tony leondis', 'michael labash']","christopher sanders,dakota fanning,tia carrere,david stiers,kevin mcdonald,kunewa mook",United States,2005,PG,"animation,comedy,dance",hotstar,6.3,17161422149632489904,https://m.media-amazon.com/images/M/MV5BMTUzMTAwMjg2M15BMl5BanBnXkFtZTcwMzQyMjAzMQ@@._V1_SX300.jpg
Movie,the last whistle,['rob smat'],"brad leland,jim oheir,deanne lauvin,les miles,eric nelsen,fred tolliver jr,tyler perez,sainty nelsen",United States,2019,PG,"drama,sports",netflix,5.0,9247536682916603013,https://m.media-amazon.com/images/M/MV5BZDYwYTI2MGYtOGM2NS00YWU1LWJlMzctNmRlYmIzNTFkM2E3XkEyXkFqcGdeQXVyNDM2NDAyNjA@._V1_SX300.jpg
Movie,tarzan  jane,['steve loter'],"michael weiss,olivia dabo,rene auberjonois,jeff bennett,jim cummings,grey delisle",United States,2002,TV-PG,"action adventure,animation",hotstar,5.3,16922238712052470509,https://m.media-amazon.com/images/M/MV5BMjAwMTM5NzM4OF5BMl5BanBnXkFtZTcwOTE2NDkyMQ@@._V1_SX300.jpg
Movie,yaara o dildaara,['ksshitij chaudhary'],"harbhajan mann,tulip joshi,kabir bedi,gulzar chahal,jonita,gurpreet ghuggi,gurpreet grewal,neena cheema,sunita dhir",India,2011,TV-14,"drama,international,music",netflix,5.6,874327156427585298,https://m.media-amazon.com/images/M/MV5BYWUzOTIzNDItOGIzZi00NDAyLWIzY2QtYjQxMjdjYjlhNjA2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg
Movie,artemis fowl,['kenneth branagh'],unknown,United States,2020,PG,"action adventure,crime,fantasy",hotstar,4.3,9976738732241001791,https://m.media-amazon.com/images/M/MV5BYWFmYjBiYzItYjBlOS00NThkLTljMWEtYzQ4NTdlNDlmMjg0XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg
Movie,"mcfarland, usa",['niki caro'],"kevin costner,maria bello,morgan saylor,martha higareda,michael aguero,sergio avelar",United States,2015,PG,"drama,sports",hotstar,7.4,11018474301244609098,https://m.media-amazon.com/images/M/MV5BMjMwNjY2Mjk5OV5BMl5BanBnXkFtZTgwODM2NTA0MzE@._V1_SX300.jpg
Movie,ayogya,['venkat mohan'],"vishal,raashi khanna,parthiban",India,2019,13+,"action,drama,international",hotstar,6.1,9896788352992657091,https://m.media-amazon.com/images/M/MV5BNTdjNjViNjYtYjM3Zi00NDY3LWEyZjAtYTYxZGVlODhlMWNlXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_SX300.jpg
TV Show,the story of god with morgan freeman,['unknown'],morgan freeman,United States,2017,TV-14,docuseries,netflix,7.8,422393715596394204,https://m.media-amazon.com/images/M/MV5BY2VhNmYzYmItNGFhNS00YTQ3LTgxYjItNzU4N2Y0MTAwMWU4XkEyXkFqcGdeQXVyMjEzMzAyNDg@._V1_SX300.jpg
TV Show,disney take two with phineas and ferb shorts,['unknown'],unknown,United States,2010,TV-G,"animation,kids,parody",hotstar,1.0,5752832921843589600,url
Movie,taramani,['ram'],"andrea jeremiah,anjali,vasanth ravi,adrian knight jesly,azhagamperumal,lizzie antony,nivas adithan,abhishek d shah",India,2017,TV-MA,"drama,independent,international",netflix,7.4,18045172696633385078,https://m.media-amazon.com/images/M/MV5BODg4Zjk0N2EtNmMyNS00ZTkxLWEwNzYtNzIzMDdiM2E3MzJmXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_SX300.jpg
Movie,jim gaffigan obsessed,['jay chapman'],jim gaffigan,United States,2014,TV-14,comedy,netflix,7.5,9149542770909799009,https://m.media-amazon.com/images/M/MV5BMjA1MDc3NzkyNl5BMl5BanBnXkFtZTgwNDYzNjM3MTE@._V1_SX300.jpg
Movie,charlottes web,"['charles a nichols', 'iwao takamoto']","debbie reynolds,charles nelson reilly,paul lynde,henry gibson,rex allen,danny bonaduce,pamelyn ferdin,don messick,agnes moorehead,martha scott,john stephenson,herb vigran,dave madden",United States,1973,G,"family,classic movies",netflix,1.0,16162464719516235850,url
Movie,the spectacular now,['james ponsoldt'],"miles teller,shailene woodley,brie larson,jennifer jason leigh,mary elizabeth winstead,kyle chandler,dayo okeniyi,bob odenkirk,andre royo,masam holden",United States,2013,R,"drama,independent,romance",netflix,7.1,5601979733875927658,https://m.media-amazon.com/images/M/MV5BMjA5MTc0NTkzM15BMl5BanBnXkFtZTcwODEwNjE3OQ@@._V1_SX300.jpg
Movie,bill burr you people are all the same,['jay karas'],bill burr,United States,2012,TV-MA,comedy,netflix,8.2,5359606115797215130,https://m.media-amazon.com/images/M/MV5BMjAyZTI1NjMtNjQ3OC00MDhhLTkxMDgtMDVmMThhNjE5M2NkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
TV Show,all american,['unknown'],"daniel ezra,taye diggs,samantha logan,brez,greta onieogou,monet mazur,michael evans behling,cody christian,karimah westbrook,jalyn hall,jordan belfi,briana lane",United States,2021,TV-14,"drama,teen tv shows",netflix,7.6,11438027720185641955,https://m.media-amazon.com/images/M/MV5BNjA2OTIxZmYtMDI4OC00NjJlLTgxNzEtYmJlMmM2MGUwNTk4XkEyXkFqcGdeQXVyODUzNDU3NTA@._V1_SX300.jpg
Movie,dragonheart vengeance,['ivan silvestrini'],"joseph millson,jack kane,helena bonham carter,arturo muselli,carolina carlsson,tam williams,richard ashton,ross ohennessy,cameron jack,fabienne piolinicastle",United States,2020,PG-13,"action adventure,scifi",netflix,5.3,16440764605880697272,https://m.media-amazon.com/images/M/MV5BZDZiZWU2NTUtMzYyZS00ZWE3LTlhOGMtNjRhOGNjYmZkYjliXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg
Movie,get a clue,['maggie greenwald'],"lindsay lohan,bug hall,ian gomez,brenda song,ali mukadam,dan lett",United States,2002,TV-G,"drama,mystery",hotstar,5.1,3431505533030112512,https://m.media-amazon.com/images/M/MV5BOTM4Zjg5NjMtNDczMS00MzA5LTlhNzMtMmQ0MmIzN2U3YjQ2XkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_SX300.jpg
Movie,om shanti om,['farah khan'],"shah rukh khan,deepika padukone,shreyas talpade,arjun rampal,kirron kher,javed sheikh",India,2007,TV-14,"comedy,drama,international",netflix,6.7,2193485471019046547,https://m.media-amazon.com/images/M/MV5BY2QwMzZjN2MtYjk0My00OThhLWFmNjAtZTFkM2NkNTkwYTFlXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX300.jpg
Movie,savages,['oliver stone'],"taylor kitsch,aaron taylorjohnson,blake lively,john travolta,benicio del toro,salma hayek,demián bichir,sandra echeverría,emile hirsch,joaquín cosío,ali wong",United States,2012,R,"drama,thriller",netflix,6.4,17215774547838977513,https://m.media-amazon.com/images/M/MV5BMTk0ODIyNDAyMF5BMl5BanBnXkFtZTcwMTQ5Nzg3Nw@@._V1_SX300.jpg
Movie,the dangerous lives of altar boys,['peter care'],"emile hirsch,kieran culkin,vincent donofrio,jena malone,jake richardson",United States,2002,R,"comedy,drama",hotstar,6.9,15879803992688224683,https://m.media-amazon.com/images/M/MV5BOTFiNzczYWUtNTVjNS00OTZlLTk1ZTktOTg0YmY4OWM0YjZlXkEyXkFqcGdeQXVyMjY4OTU1NTE@._V1_SX300.jpg
Movie,captain underpants mega blissmas,"['erik kling', 'kevin peaty']","nat faxon,jay gragnani,ramone hamilton,sean astin,dayci brookshire,jim cummings,jorge diaz",United States,2020,TV-Y7,"family,comedy",netflix,5.3,3545248559260016164,https://m.media-amazon.com/images/M/MV5BNGZjNjI3YjctZjFjMC00YzcyLWFjNjMtMTE4N2FlMjY2MzMxXkEyXkFqcGdeQXVyMTA5ODEyNTc5._V1_SX300.jpg
Movie,radium girls,"['lydia dean pilcher', 'ginny mohler']","joey king,abby quinn,cara seymour,scott shepherd,susan heyward,neal huff,collin kellysordelet,john bedford lloyd,joe grifasi,colby minifie",United States,2018,TV-14,"drama,independent",netflix,6.3,2407417997805135818,https://m.media-amazon.com/images/M/MV5BMzI0ZjVkYjktMmY0Yy00YWNkLWE0ZWUtMDBkYWRlMmRjYWQyXkEyXkFqcGdeQXVyNTk5MDExOTg@._V1_SX300.jpg
TV Show,cooking with paris,['unknown'],paris hilton,United States,2021,TV-MA,reality,netflix,5.4,16142752527208315410,https://m.media-amazon.com/images/M/MV5BZDQzN2I1YjYtMzg0Mi00MmVlLWExNDEtYWRkYWE4MTE0ODUwXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg
TV Show,crazy exgirlfriend,['unknown'],"rachel bloom,vincent rodriguez iii,santino fontana,donna lynne champlin,pete gardner,vella lovell,gabrielle ruiz,scott michael foster",United States,2019,TV-MA,"romance,comedy",netflix,1.0,6794008877055145545,url
TV Show,inside edge,['unknown'],"richa chadha,vivek anand oberoi,angad bedi,aamir bashir,tanuj virwani,sapna pabbi,amit sial,siddhant chaturvedi,sayani gupta,manu rishi chadha,elli avram,jitin gulati",India,2019,18+,"drama,international,sports",hotstar,7.9,605646304093804090,https://m.media-amazon.com/images/M/MV5BMDUyNjVmYTItODE2My00NzFmLWFhOTMtMWQ2NGYwNjFmOWUxXkEyXkFqcGdeQXVyMTIxMDk2NDE4._V1_SX300.jpg
Movie,the 2nd,['brian skiba'],"ryan phillippe,casper van dien,jack griffo,lexi simonsen,richard burgi,william katt,samaire armstrong,william mcnamara,jacob grodnik",United States,2020,TV-MA,action adventure,netflix,3.8,5044287664505748510,https://m.media-amazon.com/images/M/MV5BY2M0Yzc5ODUtMThkZS00MmZmLWIzYjItOTAxYzJjZjMzODQ0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg
TV Show,jessie,['unknown'],"debby ryan,peyton list,cameron boyce,karan brar,skai jackson,kevin chamberlin",United States,2011,TV-PG,"comedy,coming of age,family",hotstar,6.1,676935450976498600,https://m.media-amazon.com/images/M/MV5BMTY0MTYyNTk5M15BMl5BanBnXkFtZTgwMjE0ODYzMjE@._V1_SX300.jpg
TV Show,marvel studios legends,['unknown'],unknown,United States,2021,TV-14,"action adventure,docuseries,fantasy",hotstar,6.5,11785785822104884052,https://m.media-amazon.com/images/M/MV5BMzdiNGVlZGYtMGY1Ni00OGU1LTlmYzEtZDBjYjk3OGM3YTNkXkEyXkFqcGdeQXVyNzk3NDUzNTc@._V1_SX300.jpg
Movie,raja the great,['anil ravipudi'],"ravi teja,mehreen pirzada,vivan bhatena,prakash raj,srinivasa reddy,raadhika sarathkumar,sampath raj,rajendra prasad,posani krishna murali,raashi khanna",India,2017,13+,drama,hotstar,6.3,15843187084772950471,https://m.media-amazon.com/images/M/MV5BN2MwYjMyNmItZWZmMS00ZWI4LTlhOTMtYjNmYjFiMzU0Zjk2XkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_SX300.jpg
TV Show,no tomorrow,['unknown'],"joshua sasse,tori anderson,jonathan langdon,sarayu blue,jesse rath,amy pietz",United States,2016,TV-PG,"romance,comedy,drama",netflix,7.2,12657121206863451170,https://m.media-amazon.com/images/M/MV5BMTc2ODUwNjgyMF5BMl5BanBnXkFtZTgwNTE0NDg4OTE@._V1_SX300.jpg
Movie,chaahat,['mahesh bhatt'],"naseeruddin shah,shah rukh khan,pooja bhatt,anupam kher,ramya krishnan,avtar gill,mushtaq khan",India,1996,TV-14,"drama,international,romance",netflix,5.5,12769196460623844159,https://m.media-amazon.com/images/M/MV5BNjQ4NGExZTMtMTRhMi00MDdhLWExZTAtYzI0ZmM5YTIxOGMxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
Movie,travis scott look mom i can fly,['white trash tyler'],travis scott,United States,2019,TV-MA,"documentaries,music",netflix,6.3,11738239217579373526,https://m.media-amazon.com/images/M/MV5BMmFiNTkxZGYtMmJmZC00YzgxLWEyYjAtYTY0Y2ZmMjMxYmJjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
Movie,nova the impossible flight,"['noel dockstader', 'quinn kanaly']",unknown,United States,2018,TV-PG,documentaries,netflix,1.0,3363541338422100334,url
Movie,"as above, so below",['john erick dowdle'],"perdita weeks,ben feldman,edwin hodge,françois civil,marion lambert,ali marhyar,cosme castro,hamid djavadan,théo cholbi,emy lévy",United States,2014,R,"horror,thriller",netflix,6.2,11071815071891986357,https://m.media-amazon.com/images/M/MV5BMTQzNzg0NDI2MF5BMl5BanBnXkFtZTgwMzgxNzY2MTE@._V1_SX300.jpg
Movie,the american meme,['bert marcus'],"paris hilton,josh ostrovsky,brittany furlan,kirill bichutsky,dj khaled,emily ratajkowski,hailey baldwin",United States,2018,TV-MA,documentaries,netflix,6.1,18335230398733467504,https://m.media-amazon.com/images/M/MV5BZjUyODkzNDYtZGU0OS00MjQ1LWFkYjQtNmYxNzBiOTZhNDY1XkEyXkFqcGdeQXVyMTY1NjUwMjA@._V1_SX300.jpg
Movie,sommore the reign continues,['kevin layne'],sommore,United States,2015,TV-MA,comedy,netflix,6.9,17850114521285807555,https://m.media-amazon.com/images/M/MV5BZmE5MGNjOTMtYTFkMi00NzlkLWIxNDktNzI0ODBiOTlhMjEwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Movie,bride wars,['gary winick'],"kate hudson,anne hathaway,kristen johnston,bryan greenberg,candice bergen",United States,2009,PG,comedy,hotstar,5.5,4140489246617109937,https://m.media-amazon.com/images/M/MV5BMTUyNTg2OTUwN15BMl5BanBnXkFtZTgwNzEzMzg5MTI@._V1_SX300.jpg
Movie,cappuccino,['noushad'],"dharmajan bolgatty,aneesh menon,sunil sukhada,anita lukmance,kottayam pradeep,natasha doshi,hareesh perumanna,sharanya,vineeth mohan,sudhi koppa",India,2017,TV-PG,"comedy,drama,international",netflix,6.8,8935606781345026183,https://m.media-amazon.com/images/M/MV5BYmIzMmRmOTctNDRjOS00NjUxLTkwODMtMTgzZGE5ZmNjMjI2XkEyXkFqcGdeQXVyMjI0Mjk2MDg@._V1_SX300.jpg
Movie,behind the curtain todrick hall,['katherine fairfax wright'],todrick hall,United States,2017,TV-MA,"documentaries,lgbtq,music",netflix,6.9,5401638334940833304,https://m.media-amazon.com/images/M/MV5BOWVhNmRiNmEtZDU0OS00MTU4LThkZjktOGFmYzYzMGNjNDUzXkEyXkFqcGdeQXVyMjQ3MTMzNDU@._V1_SX300.jpg
Movie,arlo the alligator boy,['ryan crego'],"michael j woodard,mary lambert,brett gelman,jonathan van ness,tony hale,haley tju,annie potts,vincent rodriguez iii,flea,jennifer coolidge",United States,2021,TV-Y7,"family,comedy,music",netflix,6.4,10327031618632142683,https://m.media-amazon.com/images/M/MV5BM2UxODlhMjItZjA5ZC00ZTdlLWIwNGYtOTgwMTI0MGVkNjNhXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg
Movie,uncut gems,"['josh safdie', 'benny safdie']","adam sandler,lakeith stanfield,kevin garnett,julia fox,idina menzel,eric bogosian,judd hirsch,abel tesfaye",United States,2019,R,"drama,thriller",netflix,7.4,5849691384628759558,https://m.media-amazon.com/images/M/MV5BZDhkMjUyYjItYWVkYi00YTM5LWE4MGEtY2FlMjA3OThlYmZhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg
Movie,and then came lola,"['ellen seidler', 'megan siler']","ashleigh sumner,jill bennett,cathy debuono,jessica graham,angelyna martinez,candy tolentino,linda ignazi,jenoa harlow,lisa dewey,kathy domenici",United States,2009,TV-MA,"comedy,independent,lgbtq",netflix,4.0,7561966937334282750,https://m.media-amazon.com/images/M/MV5BMjI2MjQ0MzcxOF5BMl5BanBnXkFtZTcwNzc1NDk2Mw@@._V1_SX300.jpg
Movie,killers,['robert luketic'],"katherine heigl,ashton kutcher,tom selleck,catherine ohara,katheryn winnick,kevin sussman,lisa ann walter,casey wilson,rob riggle,martin mull,alex borstein",United States,2010,PG-13,"action adventure,comedy,romance",netflix,5.4,9221261966358771298,https://m.media-amazon.com/images/M/MV5BMTU0NDIwOTcwOV5BMl5BanBnXkFtZTcwNjU3NTQ0Mw@@._V1_SX300.jpg
Movie,god knows where i am,"['jedd wider', 'todd wider']",lori singer,United States,2016,TV-PG,documentaries,netflix,7.3,6229334186675298721,https://m.media-amazon.com/images/M/MV5BMjEyODIyMzk5M15BMl5BanBnXkFtZTgwMDYzNDcwODE@._V1_SX300.jpg
Movie,legion,['scott stewart'],"paul bettany,lucas black,tyrese gibson,adrianne palicki,charles s dutton,jon tenney,kevin durand,willa holland,kate walsh,dennis quaid,jeanette miller,cameron harlow,doug jones,josh stamberg,yancey arias",United States,2010,R,"action adventure,horror,scifi",netflix,5.3,16921060049745875325,https://m.media-amazon.com/images/M/MV5BMTMzNDg4NjYxOV5BMl5BanBnXkFtZTcwODQyNDg3Mg@@._V1_SX300.jpg
TV Show,gargoyles,['unknown'],"thom hernandez,edward asner,jeff bennett,keith david,bill fagerbakke,jonathan frakes",United States,1994,TV-Y7,"action adventure,animation,fantasy",hotstar,8.0,7932859576175354044,https://m.media-amazon.com/images/M/MV5BOTQ0ZTE5NjQtZDBmNi00MTUxLWIzMTMtMGZjMzA1MDQ0NzNmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Movie,killing hasselhoff,['darren grant'],"ken jeong,david hasselhoff,jim jefferies,jon lovitz,rhys darby,dan bakkedahl,jennifer ikeda,will sasso,colton dunn",United States,2017,R,comedy,netflix,4.5,4436237355914683952,https://m.media-amazon.com/images/M/MV5BNjI0NWNhNzctMDU0Ni00NDExLTk3NjctNGUyNGM4YzA4ZTQ2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
Movie,alice in wonderland,"['clyde geronimi', 'hamilton luske', 'wilfred jackson']","ed wynn,richard haydn,sterling holloway,jerry colonna,verna felton,pat omalley",United States,1951,G,"action adventure,animation,family",hotstar,6.4,11846448788859039123,https://m.media-amazon.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_SX300.jpg
Movie,tall tale,['jeremiah chechik'],"scott glenn,oliver platt,nick stahl,stephen lang,roger brown,jared harris",United States,1995,PG,"action adventure,western",hotstar,5.9,12986447484171983856,https://m.media-amazon.com/images/M/MV5BNDA4NmY0YWYtMDg2My00YzJiLTkyYTQtYjNkMWMwNmQ5ZjAxXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Movie,disneyland around the seasons walt disneys wonderful world of color 196169,['hamilton luske'],walt disney,United States,1966,TV-PG,"documentary,family,variety",hotstar,1.0,2346304634682724728,url
Movie,pk,['rajkumar hirani'],"aamir khan,anuskha sharma,sanjay dutt,saurabh shukla,parikshat sahni,sushant singh rajput,boman irani,rukhsar",India,2014,TV-14,"comedy,drama,international",netflix,8.1,24823268893170,https://m.media-amazon.com/images/M/MV5BMTYzOTE2NjkxN15BMl5BanBnXkFtZTgwMDgzMTg0MzE@._V1_SX300.jpg
Movie,sea of hope americas underwater treasures,['robert nixon'],max kennedy,United States,2017,TV-PG,"action adventure,animals  nature,documentary",hotstar,1.0,5897338792787205266,url
Movie,maynard,['samuel d pollard'],unknown,United States,2017,TV-PG,documentaries,netflix,6.7,2328601485171553879,https://m.media-amazon.com/images/M/MV5BMDQ2OTE5OTItNTQzNi00NmUzLTlmMzAtNmRjNzU0YjU4ZGQ3XkEyXkFqcGdeQXVyNjY5MDQ0NTQ@._V1_SX300.jpg
TV Show,moesha,['unknown'],"brandy norwood,william allen young,sheryl lee ralph,countess vaughn,lamont bentley,shar jackson,marcus t paulk,yvette wilson",United States,2000,TV-PG,"comedy,teen tv shows",netflix,5.9,8070716875289587228,https://m.media-amazon.com/images/M/MV5BOWJhNjQxOTctZGYyNS00NGViLWJiMGMtODNkNTU0YzJmNWY1XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_SX300.jpg
TV Show,rotten,['unknown'],unknown,United States,2019,TV-MA,"docuseries,science nature",netflix,7.2,3743791131766831453,https://m.media-amazon.com/images/M/MV5BYjRiNzU2MTQtMzI0YS00ZjZlLTgwZWItMDdmZWQ4Nzg2MzNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Movie,sam kinison breaking the rules,['walter c miller'],sam kinison,United States,1987,TV-MA,comedy,netflix,7.2,16006911218523786632,https://m.media-amazon.com/images/M/MV5BMTgxNjMwNzUzM15BMl5BanBnXkFtZTcwMDg0NDMyMQ@@._V1_SX300.jpg
TV Show,thackeray,['unknown'],unknown,India,2019,TV-MA,tv shows,netflix,5.4,16810468971037148563,https://m.media-amazon.com/images/M/MV5BZmI3YzZlYzEtNzFiNy00ZmNlLWJkNTYtNWZmOWE2Zjc5YjFjXkEyXkFqcGdeQXVyMjM1NjkwMDI@._V1_SX300.jpg
